[0] N(41) HP(135) PP(168) HA(175) HM(186) PM(195) PA(243)
[973] N(324) HP(1300) HA(1635) HM(1693) PM(1845) PP(2035) PA(2139)
[974] N(951) HP(4123) HA(5059) HM(5261) PM(6263) PP(6902) PA(7670)
[975] N(36) HP(71) HA(126) HM(141) PM(150) PA(209) PP(736)
[976] N(464) HP(1870) HA(2379) HM(2415) PM(3009) PP(3024) PA(3195)
[977] N(601) HP(2501) HA(3130) HM(3245) PM(3779) PP(4575) PA(5790)
[978] N(634) HP(2668) HA(3303) HM(3470) PP(4082) PM(4110) PA(4858)
[979] N(470) HP(1940) HA(2412) HM(2450) PP(3137) PM(3143) PA(3548)
[980] N(511) HP(2085) HA(2632) HM(2691) PP(3377) PM(3515) PA(4479)
[981] N(727) HP(3106) HA(3829) HM(3936) PM(4627) PA(5027) PP(5503)
[982] N(70) HP(249) HA(312) HM(319) PP(331) PM(337) PA(401)
[983] N(276) HP(1083) HA(1369) HM(1412) PP(1596) PM(1646) PA(1756)
[984] N(340) HP(1361) HA(1701) HM(1762) PM(2185) PP(2240) PA(2333)
[985] N(310) HP(1213) HA(1548) HM(1595) PP(1617) PM(1783) PA(2040)
[986] N(10) HP(28) PP(30) PA(34) PM(35) HM(38) HA(38)
[987] N(16) HP(50) PM(53) PP(60) HA(61) HM(64) PA(76)
[988] N(973) HP(4226) HA(5158) HM(5368) PM(6953) PP(7183) PA(8385)
[989] N(484) HP(1986) HA(2492) HM(2554) PP(3152) PA(3437) PM(3614)
[990] N(817) HP(3453) HA(4276) HM(4453) PM(5862) PA(7108) PP(7335)
[991] N(467) HP(1914) HA(2419) HM(2454) PM(2764) PA(3042) PP(3463)
[992] N(760) HP(3213) HA(4016) HM(4145) PP(4863) PM(4990) PA(5662)
[993] N(495) HP(2048) HA(2561) HM(2641) PM(3146) PP(3368) PA(3414)
[994] N(877) HP(3803) HA(4684) HM(4783) PP(6062) PM(6327) PA(7264)
[995] N(396) HP(1598) HA(2009) HM(2086) PP(2450) PM(2549) PA(2804)
[996] N(870) HP(3718) HA(4612) HM(4783) PM(5168) PP(6503) PA(6641)
[997] N(329) HP(1321) HA(1643) HM(1700) PM(1872) PP(1924) PA(2366)
[998] N(455) HP(1867) HA(2301) HM(2368) PM(2687) PP(3033) PA(3189)
[999] N(390) HP(1561) HA(1963) HM(2027) PM(2109) PP(2613) PA(3159)
[1000] N(242) HP(936) HA(1182) HM(1238) PM(1419) PP(1422) PA(1564)
[1001] N(442) HP(1775) HA(2239) HM(2321) PP(2628) PM(2720) PA(3205)
[1002] N(565) HP(2321) HA(2942) HM(3005) PM(3502) PP(3813) PA(4190)
[1003] N(31) HP(95) PP(111) PM(124) PA(124) HA(134) HM(137)
[1004] N(619) HP(2625) HA(3242) HM(3321) PP(3903) PA(4313) PM(4517)
[1005] N(612) HP(2530) HA(3181) HM(3310) PM(3935) PP(4463) PA(5570)
[1006] N(850) HP(3662) HA(4498) HM(4612) PA(6414) PM(6489) PP(6992)
[1007] N(442) HP(1826) HA(2248) HM(2352) PP(2744) PM(3064) PA(3479)
[1008] N(866) HP(1731) HA(3200) HM(3461) PM(5598) PA(7184) PP(377141)
[1009] N(401) HP(1622) HA(2041) HM(2095) PM(2406) PP(2520) PA(3069)
[1010] N(581) HP(1161) HA(2125) HM(2321) PM(3519) PA(4296) PP(170231)
[1011] N(443) HP(1798) HA(2255) HM(2325) PM(2420) PP(2638) PA(3501)
[1012] N(713) HP(2968) HA(3726) HM(3908) PM(4625) PP(4697) PA(5461)
[1013] N(385) HP(1534) HA(1954) HM(2016) PM(2515) PP(2696) PA(2713)
[1014] N(108) HP(386) HA(496) HM(507) PP(529) PM(547) PA(644)
[1015] N(719) HP(3048) HA(3813) HM(3880) PM(4510) PP(4873) PA(5761)
[1016] N(357) HP(1406) HA(1818) HM(1851) PM(2348) PP(2471) PA(2507)
[1017] N(242) HP(930) HA(1187) HM(1208) PP(1363) PM(1388) PA(1588)
[1018] N(755) HP(3225) HA(3948) HM(4128) PM(5076) PP(5983) PA(6196)
[1019] N(817) HP(3540) HA(4340) HM(4501) PM(5598) PA(6192) PP(6962)
[1020] N(698) HP(2938) HA(3625) HM(3808) PA(4693) PM(4819) PP(4977)
[1021] N(828) HP(3586) HA(4334) HM(4593) PM(5602) PP(6089) PA(6582)
[1022] N(743) HP(3158) HA(3902) HM(4048) PM(4872) PA(5212) PP(5775)
[1023] N(807) HP(3432) HA(4240) HM(4387) PM(5415) PP(5688) PA(6590)
[1024] N(471) HP(1929) HA(2420) HM(2518) PP(2906) PM(2980) PA(3709)
[1025] N(844) HP(3599) HA(4499) HM(4657) PM(5178) PP(6713) PA(6771)
[1026] N(22) PP(67) HP(67) HM(87) PA(88) PM(92) HA(93)
[1027] N(204) HP(764) HA(968) PM(1024) HM(1030) PP(1121) PA(1301)
[1028] N(138) HP(275) HA(505) HM(549) PM(678) PA(877) PP(9865)
[1029] N(211) HP(809) HA(1011) HM(1065) PM(1142) PP(1395) PA(1454)
[1030] N(981) HP(4234) HA(5195) HM(5425) PP(6272) PM(6966) PA(8761)
[1031] N(461) HP(1872) HA(2332) HM(2450) PM(2675) PP(2978) PA(2992)
[1032] N(760) HP(1519) HA(2781) HM(3037) PM(5074) PA(6336) PP(290698)
[1033] N(445) HP(1799) HA(2228) HM(2327) PM(2700) PP(2910) PA(2937)
[1034] N(51) HP(157) PP(185) HM(224) HA(224) PM(251) PA(280)
[1035] N(294) HP(1123) HA(1473) HM(1510) PM(1737) PP(1781) PA(2120)
[1036] N(792) HP(3383) HA(4174) HM(4310) PM(5397) PP(5547) PA(6466)
[1037] N(632) HP(2642) HA(3298) HM(3404) PP(4034) PA(4624) PM(4639)
[1038] N(318) HP(635) HA(1162) HM(1269) PM(1848) PA(2556) PP(51355)
[1039] N(706) HP(2999) HA(3756) HM(3882) PM(4859) PP(4953) PA(5262)
[1040] N(212) HP(802) HA(1020) HM(1039) PM(1117) PP(1196) PA(1453)
[1041] N(468) HP(935) HA(1726) HM(1869) PM(2706) PA(3218) PP(110680)
[1042] N(715) HP(3070) HA(3755) HM(3938) PM(4725) PA(5474) PP(5770)
[1043] N(155) HP(569) HA(734) PM(755) HM(761) PA(896) PP(941)
[1044] N(917) HP(3928) HA(4897) HM(5062) PM(6000) PP(6538) PA(8117)
[1045] N(213) HP(425) HA(784) HM(849) PM(1173) PA(1467) PP(23215)
[1046] N(246) HP(977) HA(1211) HM(1243) PP(1469) PM(1552) PA(1668)
[1047] N(528) HP(1055) HA(1947) HM(2109) PM(3002) PA(4212) PP(140710)
[1048] N(170) HP(651) HA(813) HM(831) PP(867) PA(930) PM(957)
[1049] N(684) HP(2878) HA(3577) HM(3704) PP(4691) PM(4804) PA(4959)
[1050] N(453) HP(1839) HA(2288) HM(2386) PM(2542) PP(2855) PA(2914)
[1051] N(731) HP(3069) HA(3848) HM(3943) PM(4957) PA(5331) PP(5388)
[1052] N(869) HP(3749) HA(4661) HM(4798) PM(6263) PP(6536) PA(6584)
[1053] N(39) HP(126) PP(159) HA(159) HM(168) PM(173) PA(256)
[1054] N(540) HP(2210) HA(2806) HM(2871) PM(3207) PP(3282) PA(4808)
[1055] N(347) HP(1410) HA(1768) HM(1811) PP(2246) PM(2294) PA(2343)
[1056] N(108) HP(380) PM(478) PP(490) HA(494) HM(517) PA(585)
[1057] N(700) HP(2936) HA(3673) HM(3786) PP(4853) PM(5305) PA(5456)
[1058] N(342) HP(1370) HA(1721) HM(1785) PM(1959) PP(2019) PA(2409)
[1059] N(954) HP(4108) HA(5078) HM(5246) PM(6729) PP(7212) PA(7597)
[1060] N(359) HP(1438) HA(1825) HM(1857) PM(2361) PA(2475) PP(2485)
[1061] N(791) HP(3417) HA(4219) HM(4310) PM(5277) PP(5509) PA(6176)
[1062] N(596) HP(2488) HA(3098) HM(3231) PM(3607) PP(4252) PA(4706)
[1063] N(326) HP(1300) HA(1640) HM(1679) PM(1764) PA(2007) PP(2048)
[1064] N(909) HP(3850) HA(4865) HM(4978) PM(6198) PA(6905) PP(7002)
[1065] N(783) HP(3332) HA(4104) HM(4251) PP(5383) PM(5889) PA(6467)
[1066] N(188) HP(721) HA(898) HM(931) PP(1092) PM(1150) PA(1308)
[1067] N(40) HP(133) PM(158) PP(164) HA(172) HM(176) PA(205)
[1068] N(483) HP(1975) HA(2483) HM(2582) PM(3093) PA(3622) PP(3889)
[1069] N(44) HP(149) HA(187) PM(197) HM(198) PA(218) PP(226)
[1070] N(308) HP(1210) HA(1518) HM(1581) PM(1854) PP(1955) PA(2409)
[1071] N(291) HP(1133) HA(1438) HM(1493) PM(1922) PP(1957) PA(2004)
[1072] N(531) HP(2207) HA(2764) HM(2838) PM(3424) PA(3646) PP(4106)
[1073] N(211) HP(809) HA(1021) HM(1067) PM(1143) PP(1193) PA(1508)
[1074] N(439) HP(1782) HA(2227) HM(2326) PM(2641) PP(3038) PA(3281)
[1075] N(887) HP(1773) HA(3248) HM(3544) PM(5680) PA(7486) PP(395600)
[1076] N(550) HP(2254) HA(2836) HM(2952) PM(3385) PP(3387) PA(4137)
[1077] N(516) HP(2156) HA(2671) HM(2745) PM(3132) PP(3285) PA(3709)
[1078] N(369) HP(1489) HA(1852) HM(1928) PM(2167) PA(2427) PP(2432)
[1079] N(418) HP(1697) HA(2123) HM(2207) PM(2382) PP(2709) PA(3015)
[1080] N(468) HP(1959) HA(2381) HM(2477) PM(2974) PP(3247) PA(3524)
[1081] N(179) HP(668) HA(855) HM(898) PM(1025) PP(1060) PA(1206)
[1082] N(501) HP(2052) HA(2595) HM(2665) PM(3009) PP(3286) PA(3982)
[1083] N(406) HP(1644) HA(2075) HM(2169) PM(2232) PA(2494) PP(2743)
[1084] N(686) HP(2895) HA(3587) HM(3706) PM(4428) PA(5314) PP(6027)
[1085] N(332) HP(1317) HA(1666) HM(1711) PP(1997) PM(1998) PA(2194)
[1086] N(914) HP(3979) HA(4932) HM(5037) PP(6481) PM(6627) PA(7969)
[1087] N(943) HP(4113) HA(5092) HM(5201) PP(6585) PM(6853) PA(7825)
[1088] N(658) HP(2791) HA(3416) HM(3543) PM(4187) PP(4738) PA(4778)
[1089] N(148) HP(557) HA(717) HM(742) PM(814) PP(827) PA(1048)
[1090] N(623) HP(2611) HA(3254) HM(3372) PM(3953) PA(4555) PP(5005)
[1091] N(701) HP(2986) HA(3697) HM(3814) PM(4453) PP(4532) PA(5331)
[1092] N(516) HP(2135) HA(2682) HM(2751) PM(3207) PA(3429) PP(3621)
[1093] N(985) HP(4243) HA(5279) HM(5428) PM(7383) PP(7703) PA(8077)
[1094] N(176) HP(641) HA(844) HM(879) PP(921) PM(927) PA(1150)
[1095] N(561) HP(2359) HA(2918) HM(2982) PM(3611) PP(3817) PA(4316)
[1096] N(133) HP(492) HA(624) HM(633) PM(672) PP(688) PA(858)
[1097] N(280) HP(1087) HA(1373) HM(1457) PM(1699) PP(1911) PA(2094)
[1098] N(10) HP(28) PP(32) PM(33) HA(36) HM(38) PA(62)
[1099] N(933) HP(4053) HA(4950) HM(5193) PM(6815) PP(6875) PA(7384)
[1100] N(691) HP(2865) HA(3636) HM(3772) PM(4733) PP(4843) PA(4885)
[1101] N(35) HP(113) PM(129) PP(138) HA(147) HM(152) PA(166)
[1102] N(55) HP(183) HA(233) HM(246) PM(254) PP(262) PA(281)
[1103] N(902) HP(3910) HA(4789) HM(4963) PM(6213) PP(6287) PA(8751)
[1104] N(231) HP(891) HA(1118) HM(1166) PP(1240) PM(1301) PA(1375)
[1105] N(221) HP(850) HA(1090) HM(1113) PP(1180) PM(1185) PA(1396)
[1106] N(662) HP(2822) HA(3509) HM(3601) PM(4212) PP(4824) PA(5016)
[1107] N(814) HP(3456) HA(4304) HM(4480) PM(5383) PP(5671) PA(6216)
[1108] N(274) HP(1088) HA(1361) HM(1406) PM(1538) PP(1760) PA(1814)
[1109] N(336) HP(1341) HA(1694) HM(1741) PM(2071) PP(2347) PA(2428)
[1110] N(171) HP(655) HA(812) HM(857) PM(913) PA(1026) PP(1078)
[1111] N(199) HP(766) HA(931) HM(999) PM(1010) PA(1277) PP(1280)
[1112] N(357) HP(1424) HA(1822) HM(1865) PP(2035) PM(2127) PA(2400)
[1113] N(711) HP(3010) HA(3742) HM(3848) PM(4399) PP(4775) PA(5125)
[1114] N(388) HP(1558) HA(1951) HM(2002) PP(2270) PM(2285) PA(3045)
[1115] N(640) HP(2684) HA(3356) HM(3462) PM(4124) PP(4644) PA(4860)
[1116] N(614) HP(2561) HA(3187) HM(3330) PM(4097) PP(4382) PA(5441)
[1117] N(998) HP(4311) HA(5345) HM(5515) PM(6524) PP(7594) PA(7731)
[1118] N(983) HP(4271) HA(5260) HM(5435) PM(6726) PA(7872) PP(8256)
[1119] N(783) HP(3330) HA(4171) HM(4272) PM(5273) PP(5651) PA(6033)
[1120] N(191) HP(725) HA(901) HM(939) PP(983) PM(1172) PA(1212)
[1121] N(202) HP(799) HA(991) HM(1007) PM(1047) PA(1308) PP(1352)
[1122] N(260) HP(1018) HA(1266) HM(1313) PP(1536) PM(1631) PA(1678)
[1123] N(617) HP(2630) HA(3213) HM(3317) PM(3782) PP(3994) PA(4713)
[1124] N(609) HP(2504) HA(3169) HM(3295) PM(3782) PP(3879) PA(4646)
[1125] N(538) HP(2272) HA(2758) HM(2873) PP(3530) PM(3537) PA(3959)
[1126] N(372) HP(1477) HA(1858) HM(1910) PP(2152) PM(2455) PA(2510)
[1127] N(31) HP(103) PM(113) PP(125) HA(131) PA(132) HM(136)
[1128] N(788) HP(3390) HA(4179) HM(4296) PM(5332) PP(5506) PA(6161)
[1129] N(712) HP(3013) HA(3716) HM(3816) PP(4768) PM(5064) PA(5738)
[1130] N(162) HP(610) HA(770) HM(782) PM(810) PP(894) PA(1008)
[1131] N(368) HP(1461) HA(1858) HM(1889) PP(2259) PM(2259) PA(2624)
[1132] N(280) HP(1104) HA(1373) HM(1428) PP(1743) PM(1755) PA(2070)
[1133] N(928) HP(4025) HA(4996) HM(5133) PP(5864) PM(6637) PA(8678)
[1134] N(818) HP(3517) HA(4317) HM(4481) PP(5314) PM(5814) PA(6005)
[1135] N(200) HP(769) HA(977) HM(994) PM(1058) PP(1164) PA(1287)
[1136] N(962) HP(4220) HA(5199) HM(5312) PM(6585) PA(7384) PP(8205)
[1137] N(390) HP(1545) HA(1998) HM(2047) PM(2223) PP(2295) PA(2703)
[1138] N(269) HP(1067) HA(1328) HM(1366) PM(1444) PA(1649) PP(1849)
[1139] N(431) HP(1740) HA(2180) HM(2259) PM(2565) PP(2572) PA(2996)
[1140] N(99) HP(343) HA(459) HM(467) PM(470) PP(578) PA(708)
[1141] N(158) HP(607) HA(766) HM(769) PM(785) PP(985) PA(1068)
[1142] N(530) HP(2187) HA(2733) HM(2829) PM(3223) PP(3745) PA(4155)
[1143] N(408) HP(1651) HA(2067) HM(2130) PP(2635) PM(2641) PA(2962)
[1144] N(478) HP(955) HA(1745) HM(1909) PM(2733) PA(3953) PP(115435)
[1145] N(96) HP(342) HA(431) HM(447) PM(517) PP(524) PA(569)
[1146] N(48) HP(159) PP(199) HA(205) HM(217) PM(221) PA(248)
[1147] N(790) HP(1579) HA(2894) HM(3157) PM(5254) PA(5936) PP(314023)
[1148] N(597) HP(2488) HA(3109) HM(3215) PM(3722) PA(4437) PP(4824)
[1149] N(922) HP(3982) HA(4911) HM(5099) PP(5850) PM(6183) PA(6742)
[1150] N(306) HP(1198) HA(1498) HM(1573) PP(1679) PM(1783) PA(2066)
[1151] N(947) HP(4087) HA(5053) HM(5245) PM(6662) PP(7003) PA(8087)
[1152] N(195) HP(389) HA(721) HM(777) PM(1106) PA(1259) PP(19498)
[1153] N(1000) HP(4318) HA(5372) HM(5542) PP(7193) PM(8026) PA(8049)
[1154] N(44) HP(87) HA(156) HM(173) PM(205) PA(237) PP(1076)
[1155] N(713) HP(2997) HA(3790) HM(3833) PM(4925) PP(5004) PA(6092)
[1156] N(27) HP(88) PM(100) HA(109) HM(116) PA(122) PP(136)
[1157] N(172) HP(651) HA(817) HM(838) PM(956) PA(987) PP(1015)
[1158] N(556) HP(2292) HA(2867) HM(2991) PM(3506) PA(3668) PP(3913)
[1159] N(993) HP(4258) HA(5314) HM(5541) PM(6765) PA(7676) PP(8101)
[1160] N(288) HP(575) HA(1062) HM(1149) PM(1593) PA(1958) PP(42190)
[1161] N(149) HP(297) HA(548) HM(593) PM(771) PA(863) PP(11471)
[1162] N(693) HP(2939) HA(3651) HM(3723) PM(4674) PA(5510) PP(5666)
[1163] N(270) HP(1047) HA(1349) HM(1374) PM(1530) PP(1717) PA(1725)
[1164] N(92) HP(329) HA(420) PP(429) HM(433) PM(446) PA(571)
[1165] N(711) HP(3029) HA(3763) HM(3866) PM(4511) PA(5038) PP(5274)
[1166] N(94) HP(330) PM(425) HA(426) HM(446) PA(569) PP(594)
[1167] N(494) HP(2035) HA(2534) HM(2615) PP(3204) PA(3439) PM(3574)
[1168] N(192) HP(719) HA(932) HM(959) PP(984) PM(1069) PA(1361)
[1169] N(689) HP(2863) HA(3638) HM(3717) PP(4493) PM(4639) PA(4857)
[1170] N(389) HP(1570) HA(1969) HM(2052) PP(2133) PM(2500) PA(2766)
[1171] N(717) HP(3063) HA(3781) HM(3887) PM(5159) PP(5201) PA(5633)
[1172] N(381) HP(1554) HA(1927) HM(1992) PM(2232) PP(2294) PA(2424)
[1173] N(588) HP(2429) HA(3063) HM(3154) PP(3615) PM(3633) PA(4543)
[1174] N(865) HP(3768) HA(4644) HM(4778) PP(6064) PM(6090) PA(6917)
[1175] N(254) HP(507) HA(931) HM(1013) PM(1278) PA(1644) PP(32891)
[1176] N(724) HP(1447) HA(2661) HM(2893) PM(4795) PA(5769) PP(263896)
[1177] N(176) HP(671) HA(834) HM(877) PP(960) PM(983) PA(1121)
[1178] N(986) HP(4325) HA(5268) HM(5441) PM(6509) PP(7276) PA(8050)
[1179] N(710) HP(3031) HA(3720) HM(3875) PP(4437) PM(4679) PA(5470)
[1180] N(106) HP(211) HA(384) HM(421) PM(532) PA(600) PP(5881)
[1181] N(187) HP(734) HA(897) HM(919) PP(980) PM(1131) PA(1509)
[1182] N(841) HP(3614) HA(4467) HM(4624) PM(5333) PP(6480) PA(6710)
[1183] N(316) HP(1275) HA(1584) HM(1645) PM(1861) PP(1943) PA(2113)
[1184] N(845) HP(3613) HA(4501) HM(4607) PM(5350) PP(5649) PA(6699)
[1185] N(668) HP(2828) HA(3503) HM(3621) PM(4072) PP(4892) PA(5176)
[1186] N(175) HP(657) PP(818) HA(830) HM(864) PM(900) PA(1023)
[1187] N(828) HP(3575) HA(4435) HM(4565) PM(5479) PP(5945) PA(5957)
[1188] N(373) HP(1496) HA(1879) HM(1931) PM(2506) PP(2568) PA(2801)
[1189] N(235) HP(916) HA(1151) HM(1187) PM(1271) PP(1463) PA(1740)
[1190] N(719) HP(2989) HA(3748) HM(3855) PM(4359) PA(5123) PP(5278)
[1191] N(283) HP(1117) HA(1395) HM(1472) PP(1646) PM(1813) PA(2191)
[1192] N(985) HP(4284) HA(5282) HM(5433) PP(6865) PM(7332) PA(8067)
[1193] N(719) HP(1437) HA(2629) HM(2873) PM(4750) PA(6498) PP(260276)
[1194] N(960) HP(4152) HA(5183) HM(5362) PM(6481) PP(6593) PA(7588)
[1195] N(690) HP(2893) HA(3631) HM(3768) PM(4411) PP(5089) PA(6281)
[1196] N(943) HP(4053) HA(5137) HM(5203) PP(6377) PM(6494) PA(7820)
[1197] N(656) HP(2743) HA(3456) HM(3562) PM(3968) PP(4483) PA(4974)
[1198] N(76) HP(261) PP(335) HA(340) HM(346) PM(360) PA(391)
[1199] N(841) HP(3572) HA(4451) HM(4623) PM(5852) PP(5900) PA(7096)
[1200] N(354) HP(1411) HA(1789) HM(1811) PP(2035) PM(2139) PA(2442)
[1201] N(836) HP(1671) HA(3100) HM(3341) PM(5468) PA(6388) PP(351536)
[1202] N(581) HP(2428) HA(3041) HM(3134) PM(3668) PA(4358) PP(4407)
[1203] N(383) HP(1563) HA(1922) HM(1999) PM(2220) PP(2449) PA(2703)
[1204] N(695) HP(2926) HA(3622) HM(3736) PP(4629) PM(4903) PA(6031)
[1205] N(537) HP(2205) HA(2741) HM(2863) PM(3316) PP(3881) PA(3883)
[1206] N(618) HP(2539) HA(3210) HM(3338) PM(4010) PP(4588) PA(5254)
[1207] N(307) HP(1181) HA(1530) HM(1541) PM(1664) PA(2240) PP(2259)
[1208] N(50) HP(167) HA(222) HM(225) PM(230) PP(246) PA(300)
[1209] N(249) HP(949) HA(1216) HM(1260) PM(1355) PP(1653) PA(1690)
[1210] N(950) HP(4057) HA(5095) HM(5249) PM(6152) PP(7052) PA(8062)
[1211] N(834) HP(3594) HA(4438) HM(4571) PM(5525) PP(6291) PA(6844)
[1212] N(48) HP(161) PP(198) PM(206) HM(210) HA(210) PA(259)
[1213] N(625) HP(1249) HA(2306) HM(2497) PM(3921) PA(4988) PP(196873)
[1214] N(178) HP(663) HA(859) HM(884) PM(916) PA(1036) PP(1039)
[1215] N(613) HP(2576) HA(3189) HM(3298) PP(3922) PM(4250) PA(4352)
[1216] N(408) HP(1638) HA(2052) HM(2112) PM(2616) PP(2617) PA(2697)
[1217] N(566) HP(2317) HA(2912) HM(3019) PM(3331) PA(3760) PP(3860)
[1218] N(152) HP(562) PP(713) HA(718) HM(737) PM(827) PA(851)
[1219] N(658) HP(2758) HA(3437) HM(3566) PM(4315) PP(4497) PA(5542)
[1220] N(245) HP(952) HA(1173) HM(1240) PM(1385) PP(1408) PA(1674)
[1221] N(364) HP(1461) HA(1829) HM(1880) PM(2045) PA(2398) PP(2510)
[1222] N(602) HP(2500) HA(3131) HM(3209) PM(4025) PP(4670) PA(4859)
[1223] N(544) HP(2244) HA(2792) HM(2896) PM(3599) PA(3961) PP(4196)
[1224] N(383) HP(1548) HA(1943) HM(2016) PM(2240) PA(2547) PP(2725)
[1225] N(890) HP(3873) HA(4799) HM(4922) PM(5757) PP(6894) PA(6976)
[1226] N(672) HP(2807) HA(3496) HM(3610) PM(4265) PA(4612) PP(5058)
[1227] N(475) HP(1972) HA(2408) HM(2509) PM(2847) PP(3438) PA(3743)
[1228] N(360) HP(1454) HA(1804) HM(1881) PM(2008) PP(2415) PA(2936)
[1229] N(553) HP(1105) HA(2024) HM(2209) PM(3255) PA(3825) PP(154285)
[1230] N(739) HP(3119) HA(3880) HM(4007) PP(4760) PM(5278) PA(5423)
[1231] N(333) HP(1322) HA(1669) HM(1735) PM(2029) PP(2110) PA(2550)
[1232] N(54) HP(184) PM(229) HA(238) PP(240) HM(243) PA(311)
[1233] N(217) HP(853) HA(1060) HM(1083) PM(1255) PP(1437) PA(1560)
[1234] N(107) HP(395) HA(506) HM(511) PP(517) PM(519) PA(556)
[1235] N(602) HP(2543) HA(3116) HM(3243) PM(4002) PP(4278) PA(4849)
[1236] N(450) HP(1805) HA(2297) HM(2336) PM(2604) PP(2889) PA(3086)
[1237] N(841) HP(3575) HA(4445) HM(4609) PM(5589) PP(6221) PA(6679)
[1238] N(287) HP(1130) HA(1398) HM(1448) PP(1505) PM(1841) PA(1993)
[1239] N(879) HP(3810) HA(4640) HM(4851) PM(6030) PP(6194) PA(7962)
[1240] N(61) HP(210) HA(267) PP(270) PM(271) HM(283) PA(316)
[1241] N(733) HP(3135) HA(3841) HM(4057) PP(5149) PM(5228) PA(5833)
[1242] N(740) HP(3152) HA(3871) HM(4055) PM(5004) PP(5168) PA(5531)
[1243] N(720) HP(3014) HA(3754) HM(3918) PM(4292) PA(4950) PP(5280)
[1244] N(249) HP(987) HA(1234) HM(1273) PM(1484) PP(1614) PA(1640)
[1245] N(955) HP(4149) HA(5032) HM(5316) PM(6111) PA(7413) PP(7482)
[1246] N(90) HP(320) HA(401) HM(417) PM(419) PP(503) PA(605)
[1247] N(365) HP(1460) HA(1823) HM(1891) PP(2254) PM(2363) PA(2443)
[1248] N(165) HP(616) HA(771) HM(806) PM(918) PP(923) PA(1158)
[1249] N(475) HP(1945) HA(2411) HM(2533) PM(2823) PA(3398) PP(4109)
[1250] N(843) HP(3609) HA(4517) HM(4667) PM(5354) PP(5738) PA(6330)
[1251] N(181) HP(683) HA(869) HM(889) PP(979) PM(1006) PA(1089)
[1252] N(531) HP(2203) HA(2740) HM(2865) PP(3233) PM(3470) PA(4523)
[1253] N(244) HP(970) HA(1183) HM(1241) PM(1364) PP(1577) PA(1760)
[1254] N(777) HP(1553) HA(2839) HM(3105) PM(5183) PA(7109) PP(303805)
[1255] N(262) HP(1009) HA(1296) HM(1342) PM(1598) PA(1864) PP(1902)
[1256] N(314) HP(1251) HA(1537) HM(1611) PM(2094) PA(2108) PP(2356)
[1257] N(280) HP(1104) HA(1385) HM(1422) PP(1646) PM(1695) PA(2233)
[1258] N(737) HP(3130) HA(3904) HM(4049) PP(5187) PM(5205) PA(5510)
[1259] N(15) HP(45) PA(49) PM(51) HA(58) PP(60) HM(60)
[1260] N(821) HP(3539) HA(4360) HM(4532) PM(5328) PP(5909) PA(6613)
[1261] N(670) HP(2801) HA(3505) HM(3679) PM(4553) PP(4720) PA(5513)
[1262] N(425) HP(1723) HA(2208) HM(2227) PP(2578) PM(2579) PA(3146)
[1263] N(877) HP(3715) HA(4695) HM(4824) PM(5841) PP(6503) PA(7177)
[1264] N(987) HP(4274) HA(5325) HM(5503) PM(6733) PA(7761) PP(7831)
[1265] N(820) HP(3497) HA(4382) HM(4497) PM(5308) PP(5979) PA(7107)
[1266] N(763) HP(3270) HA(3998) HM(4156) PM(4699) PP(5482) PA(6365)
[1267] N(339) HP(1344) HA(1678) HM(1742) PM(2092) PP(2265) PA(2378)
[1268] N(644) HP(2731) HA(3369) HM(3478) PP(4505) PA(4729) PM(4829)
[1269] N(256) HP(997) HA(1271) HM(1298) PA(1488) PP(1651) PM(1715)
[1270] N(544) HP(2271) HA(2800) HM(2912) PM(3377) PP(3840) PA(4398)
[1271] N(337) HP(1329) HA(1692) HM(1741) PM(1937) PP(2059) PA(2588)
[1272] N(653) HP(2764) HA(3461) HM(3527) PM(4240) PP(4600) PA(5196)
[1273] N(73) HP(247) PP(317) HA(325) HM(336) PM(350) PA(394)
[1274] N(415) HP(1710) HA(2078) HM(2179) PP(2686) PM(2824) PA(2828)
[1275] N(844) HP(3615) HA(4509) HM(4614) PM(5631) PP(5808) PA(6864)
[1276] N(953) HP(4184) HA(5099) HM(5262) PM(6778) PP(6857) PA(7694)
[1277] N(613) HP(2549) HA(3199) HM(3284) PM(3656) PP(4212) PA(4993)
[1278] N(809) HP(3421) HA(4281) HM(4432) PP(5670) PM(6042) PA(7767)
[1279] N(342) HP(1372) HA(1719) HM(1777) PM(1938) PP(2130) PA(2352)
[1280] N(713) HP(2997) HA(3723) HM(3894) PM(4895) PA(4942) PP(5148)
[1281] N(575) HP(2402) HA(2978) HM(3128) PM(3512) PP(3919) PA(4515)
[1282] N(376) HP(1516) HA(1924) HM(1969) PM(2460) PA(2499) PP(2551)
[1283] N(666) HP(2818) HA(3505) HM(3634) PM(4147) PP(4204) PA(5287)
[1284] N(189) HP(377) HA(687) HM(753) PM(1075) PA(1312) PP(18331)
[1285] N(791) HP(3368) HA(4213) HM(4306) PM(5069) PA(6304) PP(6874)
[1286] N(331) HP(1329) HA(1652) HM(1726) PM(1802) PP(2046) PA(2174)
[1287] N(293) HP(1137) HA(1468) HM(1503) PM(1672) PP(1874) PA(1933)
[1288] N(98) HP(354) HA(457) HM(462) PM(468) PP(469) PA(539)
[1289] N(938) HP(4011) HA(4986) HM(5203) PM(5915) PP(6543) PA(6989)
[1290] N(958) HP(4157) HA(5154) HM(5298) PM(6105) PA(7131) PP(7210)
