[0] N(41) HP(135) PP(168) HA(175) HM(186) PM(195) PA(243)
[279] N(324) HP(1284) HA(1620) HM(1674) PM(1922) PP(1942) PA(2214)
[280] N(159) HP(599) HA(752) PM(761) HM(774) PA(920) PP(964)
[281] N(181) HP(676) HA(863) HM(905) PM(970) PP(1110) PA(1180)
[282] N(360) HP(1426) HA(1821) HM(1887) PM(2145) PP(2474) PA(2731)
[283] N(246) HP(967) HA(1209) HM(1235) PM(1357) PP(1513) PA(1752)
[284] N(366) HP(1444) HA(1838) HM(1895) PM(2245) PP(2464) PA(2679)
[285] N(172) HP(343) HA(630) HM(685) PM(954) PA(1080) PP(15220)
[286] N(553) HP(2303) HA(2854) HM(2982) PP(3473) PM(3795) PA(4319)
[287] N(204) HP(750) HA(990) HM(1007) PP(1183) PM(1184) PA(1207)
[288] N(634) HP(2657) HA(3344) HM(3433) PM(3979) PP(4144) PA(5484)
[289] N(933) HP(4014) HA(5023) HM(5170) PM(6138) PA(6977) PP(8167)
[290] N(542) HP(2214) HA(2791) HM(2894) PM(3536) PA(3991) PP(5027)
[291] N(727) HP(1453) HA(2676) HM(2905) PM(4818) PA(5436) PP(266080)
[292] N(787) HP(3356) HA(4194) HM(4319) PP(5457) PA(5679) PM(5806)
[293] N(829) HP(3543) HA(4365) HM(4584) PM(5128) PP(6367) PA(7788)
[294] N(804) HP(3440) HA(4230) HM(4369) PP(5711) PM(5816) PA(6550)
[295] N(951) HP(4098) HA(5041) HM(5228) PM(6544) PP(7568) PA(8140)
[296] N(364) HP(1444) HA(1826) HM(1876) PM(2227) PP(2326) PA(2567)
[297] N(472) HP(1959) HA(2436) HM(2487) PP(2901) PM(3092) PA(4098)
[298] N(671) HP(2858) HA(3566) HM(3660) PM(4552) PP(4816) PA(4969)
[299] N(603) HP(2549) HA(3126) HM(3246) PM(4013) PA(4192) PP(4483)
[300] N(926) HP(3992) HA(4964) HM(5120) PP(6411) PM(6430) PA(8140)
[301] N(225) HP(858) HA(1100) HM(1131) PP(1246) PA(1324) PM(1348)
[302] N(188) HP(702) HA(907) HM(933) PP(1072) PA(1102) PM(1191)
[303] N(909) HP(3896) HA(4790) HM(4970) PP(6347) PM(6596) PA(6833)
[304] N(903) HP(3884) HA(4801) HM(4978) PP(5710) PM(6649) PA(6983)
[305] N(942) HP(4084) HA(5042) HM(5219) PP(6496) PM(6606) PA(7876)
[306] N(29) HP(94) HA(118) PP(119) HM(125) PA(142) PM(163)
[307] N(559) HP(2314) HA(2912) HM(3014) PP(3531) PM(3667) PA(4095)
[308] N(42) HP(83) HA(151) HM(165) PM(192) PA(205) PP(985)
[309] N(997) HP(1993) HA(3664) HM(3985) PM(6085) PA(8332) PP(499495)
[310] N(490) HP(2032) HA(2549) HM(2595) PM(3185) PP(3320) PA(3572)
[311] N(44) HP(144) HA(189) PM(190) HM(190) PA(194) PP(234)
[312] N(195) HP(389) HA(715) HM(777) PM(1106) PA(1150) PP(19498)
[313] N(506) HP(2094) HA(2582) HM(2665) PP(3197) PM(3287) PA(3329)
[314] N(875) HP(3802) HA(4670) HM(4820) PP(6137) PM(6568) PA(7605)
[315] N(670) HP(2831) HA(3508) HM(3654) PM(4582) PP(4954) PA(5438)
[316] N(992) HP(4278) HA(5362) HM(5505) PP(6548) PM(7263) PA(8209)
[317] N(638) HP(2705) HA(3342) HM(3454) PM(3881) PA(4282) PP(4290)
[318] N(347) HP(1393) HA(1734) HM(1800) PP(1868) PM(1979) PA(2087)
[319] N(106) HP(393) HA(482) PP(513) HM(513) PM(567) PA(595)
[320] N(306) HP(611) HA(1108) HM(1221) PM(1754) PA(2074) PP(47581)
[321] N(106) HP(211) HA(391) HM(421) PM(532) PA(656) PP(5881)
[322] N(813) HP(1625) HA(3003) HM(3249) PM(5367) PA(6083) PP(332515)
